"filename", "language", "Markdown", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\x230\Desktop\thsearch\README.md", "Markdown", 33, 0, 0, 0, 0, 25, 58
"c:\Users\x230\Desktop\thsearch\Tests\ConsoleOutput.cs", "C#", 0, 23, 0, 0, 1, 9, 33
"c:\Users\x230\Desktop\thsearch\Tests\Tests.csproj", "XML", 0, 0, 20, 0, 0, 5, 25
"c:\Users\x230\Desktop\thsearch\Tests\Thsearch_function_tests.cs", "C#", 0, 173, 0, 0, 40, 72, 285
"c:\Users\x230\Desktop\thsearch\Tests\UnitTest11.cs", "C#", 0, 11, 0, 0, 0, 2, 13
"c:\Users\x230\Desktop\thsearch\thsearch\ConfigFileParser.cs", "C#", 0, 51, 0, 0, 1, 13, 65
"c:\Users\x230\Desktop\thsearch\thsearch\FileConsumer.cs", "C#", 0, 19, 0, 0, 4, 14, 37
"c:\Users\x230\Desktop\thsearch\thsearch\FileProducer.cs", "C#", 0, 34, 0, 0, 1, 9, 44
"c:\Users\x230\Desktop\thsearch\thsearch\Models\FileIndexEntry.cs", "C#", 0, 11, 0, 0, 16, 6, 33
"c:\Users\x230\Desktop\thsearch\thsearch\Models\FileModel.cs", "C#", 0, 10, 0, 0, 1, 5, 16
"c:\Users\x230\Desktop\thsearch\thsearch\Models\Index.cs", "C#", 0, 80, 0, 0, 29, 22, 131
"c:\Users\x230\Desktop\thsearch\thsearch\Models\InverseIndexEntry.cs", "C#", 0, 13, 0, 0, 17, 9, 39
"c:\Users\x230\Desktop\thsearch\thsearch\Program.cs", "C#", 0, 66, 0, 0, 15, 26, 107
"c:\Users\x230\Desktop\thsearch\thsearch\Properties\PublishProfiles\FolderProfile.pubxml", "XML", 0, 0, 13, 0, 3, 0, 16
"c:\Users\x230\Desktop\thsearch\thsearch\Properties\launchSettings.json", "JSON", 0, 0, 0, 8, 0, 0, 8
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\EpubExtractor.cs", "C#", 0, 9, 0, 0, 0, 5, 14
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\HtmlExtractor.cs", "C#", 0, 11, 0, 0, 2, 8, 21
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\IExtractor.cs", "C#", 0, 4, 0, 0, 1, 4, 9
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\PdfExtractor.cs", "C#", 0, 18, 0, 0, 1, 8, 27
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\StringExtractor.cs", "C#", 0, 22, 0, 0, 2, 10, 34
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\TxtExtractor.cs", "C#", 0, 7, 0, 0, 1, 3, 11
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\Searcher.cs", "C#", 0, 40, 0, 0, 19, 28, 87
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\TokenizerAndStemmer.cs", "C#", 0, 43, 0, 0, 2, 19, 64
"c:\Users\x230\Desktop\thsearch\thsearch\thsearch.csproj", "XML", 0, 0, 31, 0, 0, 7, 38
"Total", "-", 33, 645, 64, 8, 156, 309, 1215
