"filename", "language", "Markdown", "XML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\x230\Desktop\thsearch\README.md", "Markdown", 33, 0, 0, 0, 0, 25, 58
"c:\Users\x230\Desktop\thsearch\Tests\ConsoleOutput.cs", "C#", 0, 0, 23, 0, 1, 9, 33
"c:\Users\x230\Desktop\thsearch\Tests\Tests.csproj", "XML", 0, 20, 0, 0, 0, 5, 25
"c:\Users\x230\Desktop\thsearch\Tests\Thsearch_function_tests.cs", "C#", 0, 0, 173, 0, 40, 72, 285
"c:\Users\x230\Desktop\thsearch\Tests\UnitTest11.cs", "C#", 0, 0, 11, 0, 0, 2, 13
"c:\Users\x230\Desktop\thsearch\thsearch\ConfigFileParser.cs", "C#", 0, 0, 59, 0, 2, 15, 76
"c:\Users\x230\Desktop\thsearch\thsearch\FileConsumer.cs", "C#", 0, 0, 43, 0, 3, 23, 69
"c:\Users\x230\Desktop\thsearch\thsearch\FileProducer.cs", "C#", 0, 0, 34, 0, 1, 9, 44
"c:\Users\x230\Desktop\thsearch\thsearch\Models\FileIndexEntry.cs", "C#", 0, 0, 26, 0, 16, 7, 49
"c:\Users\x230\Desktop\thsearch\thsearch\Models\FileModel.cs", "C#", 0, 0, 10, 0, 1, 5, 16
"c:\Users\x230\Desktop\thsearch\thsearch\Models\IIndex.cs", "C#", 0, 0, 11, 0, 5, 8, 24
"c:\Users\x230\Desktop\thsearch\thsearch\Models\IndexSqlite.cs", "C#", 0, 0, 199, 0, 17, 83, 299
"c:\Users\x230\Desktop\thsearch\thsearch\Models\InverseIndexEntry.cs", "C#", 0, 0, 13, 0, 17, 9, 39
"c:\Users\x230\Desktop\thsearch\thsearch\Models\RecordInfo.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\x230\Desktop\thsearch\thsearch\Program.cs", "C#", 0, 0, 115, 0, 18, 48, 181
"c:\Users\x230\Desktop\thsearch\thsearch\Properties\PublishProfiles\FolderProfile.pubxml", "XML", 0, 13, 0, 0, 3, 0, 16
"c:\Users\x230\Desktop\thsearch\thsearch\Properties\launchSettings.json", "JSON", 0, 0, 0, 8, 0, 0, 8
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\EpubExtractor.cs", "C#", 0, 0, 9, 0, 0, 6, 15
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\HtmlExtractor.cs", "C#", 0, 0, 11, 0, 2, 8, 21
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\IExtractor.cs", "C#", 0, 0, 4, 0, 1, 4, 9
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\MhtmlExtractor.cs", "C#", 0, 0, 11, 0, 2, 8, 21
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\PdfExtractor.cs", "C#", 0, 0, 18, 0, 1, 9, 28
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\StringExtractor.cs", "C#", 0, 0, 22, 0, 2, 11, 35
"c:\Users\x230\Desktop\thsearch\thsearch\StringExtractor\TxtExtractor.cs", "C#", 0, 0, 7, 0, 1, 3, 11
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\ConsoleUI.cs", "C#", 0, 0, 15, 0, 1, 3, 19
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\ITokenizer.cs", "C#", 0, 0, 5, 0, 0, 4, 9
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\Searcher.cs", "C#", 0, 0, 41, 0, 20, 32, 93
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\SpanCharEqualityComparer.cs", "C#", 0, 0, 20, 0, 0, 5, 25
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\Tokenizer.cs", "C#", 0, 0, 48, 0, 4, 21, 73
"c:\Users\x230\Desktop\thsearch\thsearch\Utils\TokenizerAndStemmerSpans.cs", "C#", 0, 0, 76, 0, 6, 31, 113
"c:\Users\x230\Desktop\thsearch\thsearch\thsearch.csproj", "XML", 0, 39, 0, 0, 0, 7, 46
"Total", "-", 33, 72, 1010, 8, 164, 474, 1761
